X,Y,NAME,GSS_CODE,HECTARES,NONLD_AREA,ONS_INNER
519994.248549649,166150.849998804,Kingston upon Thames,E09000021,3726.117,0,F
534962.010480584,163446.850000186,Croydon,E09000008,8649.441,0,F
543635.07288009,165067.349999919,Bromley,E09000006,15013.487,0,F
512742.581399396,174963.449999634,Hounslow,E09000018,5658.541,60.755,F
517056.627522936,181946.0,Ealing,E09000009,5554.428,0,F
556114.774739935,186843.600000385,Havering,E09000016,11445.735,210.763,F
507551.354892974,183726.299999631,Hillingdon,E09000017,11570.063,0,F
514992.120803648,189959.099999029,Harrow,E09000015,5046.33,0,F
519605.566229522,186490.150000629,Brent,E09000005,4323.27,0,F
523923.942531313,191945.400000612,Barnet,E09000003,8674.837,0,F
530571.052273768,175100.199999472,Lambeth,E09000022,2724.94,43.927,T
534296.794987127,175674.650000384,Southwark,E09000028,2991.34,105.139,T
538208.889153393,174545.300000546,Lewisham,E09000023,3531.706,16.795,T
542382.961620154,176366.349999022,Greenwich,E09000011,5044.19,310.785,F
548985.455379294,175714.499999807,Bexley,E09000004,6428.649,370.619,F
532830.324562511,196192.99999943,Enfield,E09000010,8220.025,0,F
537424.693747278,190717.950000273,Waltham Forest,E09000031,3880.793,0,F
543515.372687656,189458.400000091,Redbridge,E09000026,5644.225,2.3,F
527358.845426392,163632.149999637,Sutton,E09000029,4384.698,0,F
519007.27366583,172651.549999689,Richmond upon Thames,E09000027,5876.111,135.443,F
526067.77461411,169514.099999601,Merton,E09000024,3762.466,0,F
525109.699335126,174160.350000923,Wandsworth,E09000032,3522.022,95.6,T
522891.428283048,179260.800000087,Hammersmith and Fulham,E09000013,1715.409,75.648,T
524961.615689302,179870.849999527,Kensington and Chelsea,E09000020,1238.379,25.994,T
528268.209300734,180869.799999942,Westminster,E09000033,2203.005,54.308,T
527500.538033109,184264.250000179,Camden,E09000007,2178.932,0,T
536342.945872237,181454.399999889,Tower Hamlets,E09000030,2157.501,179.707,T
531468.112558851,184814.449999536,Islington,E09000019,1485.664,0,T
535488.122428587,185074.199999913,Hackney,E09000012,1904.902,0,T
531259.325000032,189342.64999965,Haringey,E09000014,2959.837,0,T
540719.995045446,183330.849999766,Newham,E09000025,3857.806,237.637,T
549164.009925947,186289.250000277,Barking and Dagenham,E09000002,3779.934,169.15,F
532386.54306064,181351.0,City of London,E09000001,314.942,24.546,T
